index,citations,year,Title,citations_average
488,1,1991,Burst Synchronization without Frequency Locking in a Completely Solvable Neural Network Model,0.037037037037037035
490,64,1991,Rule Induction through Integrated Symbolic and Subsymbolic Processing,2.3703703703703702
491,153,1991,Interpretation of Artificial Neural Networks: Mapping Knowledge-Based Neural Networks into Rules,5.666666666666667
492,2,1991,Hierarchical Transformation of Space in the Visual System,0.07407407407407407
494,0,1991,Computer Recognition of Wave Location in Graphical Data by a Neural Network,0.0
496,19,1991,A Cortico-Cerebellar Model that Learns to Generate Distributed Motor Commands to Control a Kinematic Arm,0.7037037037037037
498,8,1991,"Merging Constrained Optimisation with Deterministic Annealing to ""Solve"" Combinatorially Hard Problems",0.2962962962962963
499,9,1991,The VC-Dimension versus the Statistical Capacity of Multilayer Networks,0.3333333333333333
501,105,1991,Learning to Segment Images Using Dynamic Feature Binding,3.888888888888889
502,14,1991,Image Segmentation with Networks of Variable Scales,0.5185185185185185
504,8,1991,Neural Network Analysis of Event Related Potentials and Electroencephalogram Predicts Vigilance,0.2962962962962963
506,6,1991,Decoding of Neuronal Signals in Visual Pattern Recognition,0.2222222222222222
507,21,1991,Fault Diagnosis of Antenna Pointing Systems using Hybrid Neural Network and Signal Processing Models,0.7777777777777778
509,6,1991,Learning How to Teach or Selecting Minimal Surface Data,0.2222222222222222
510,47,1991,Learning Unambiguous Reduced Sequence Descriptions,1.7407407407407407
511,48,1991,VISIT: A Neural Model of Covert Visual Attention,1.7777777777777777
512,3,1991,Linear Operator for Object Recognition,0.1111111111111111
513,13,1991,A Segment-Based Automatic Language Identification System,0.48148148148148145
514,21,1991,A comparison between a neural network model for the formation of brain maps and experimental data,0.7777777777777778
515,4,1991,3D Object Recognition Using Unsupervised Feature Extraction,0.14814814814814814
519,53,1991,Repeat Until Bored: A Pattern Selection Strategy,1.962962962962963
520,0,1991,Learning in the Vestibular System: Simulations of Vestibular Compensation Using Recurrent Back-Propagation,0.0
521,5,1991,Connectionist Optimisation of Tied Mixture Hidden Markov Models,0.18518518518518517
522,18,1991,"Estimating Average-Case Learning Curves Using Bayesian, Statistical Physics and VC Dimension Methods",0.6666666666666666
524,72,1991,Networks for the Separation of Sources that are Superimposed and Delayed,2.6666666666666665
525,24,1991,Iterative Construction of Sparse Polynomial Approximations,0.8888888888888888
527,33,1991,Learning Global Direct Inverse Kinematics,1.2222222222222223
529,48,1991,Kernel Regression and Backpropagation Training With Noise,1.7777777777777777
531,0,1991,Information Processing to Create Eye Movements,0.0
532,238,1991,Hierarchies of adaptive experts,8.814814814814815
534,11,1991,Neural Network Routing for Random Multistage Interconnection Networks,0.4074074074074074
